"Data Source","World Development Indicators",

"Last Updated Date","2025-06-05",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"Austria","AUT","Alternative and nuclear energy (% of total energy use)","EG.USE.COMM.CL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.96","10.29","11.88","12.38","12.09","12.04","10.49","11.17","11.34","12.5","12.9","11.85","11.71","9.33","10.33","10.19","9.87","10.51","10.79","12.07","10.83","10.08","12.84","12.47","12.91","11.92","12.66","12.4","12.47","13.49","14.51","13.08","13.23","16.2","",
"Azerbaijan","AZE","Alternative and nuclear energy (% of total energy use)","EG.USE.COMM.CL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.63","0.67","0.83","1.28","1.06","0.96","1.13","1.3","1.43","1.18","1.17","0.98","1.5","1.75","1.85","1.93","1.64","1.62","1.38","1.6","2.51","1.8","1.12","0.91","0.77","0.97","1.2","1.07","1.11","0.92","0.67","0.74","0.86","","",
"Burundi","BDI","Alternative and nuclear energy (% of total energy use)","EG.USE.COMM.CL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Belgium","BEL","Alternative and nuclear energy (% of total energy use)","EG.USE.COMM.CL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","23.3","22.36","22.42","22.17","20.24","20.27","20.16","21.98","21.04","22.32","21.69","21.02","22.2","21.27","21.14","21.41","21.28","22.45","20.61","22.34","21.14","23.08","20.47","20.98","17.98","14.46","21.83","21.51","15.95","22.97","21.01","26.46","25.96","22.53","",
"Benin","BEN","Alternative and nuclear energy (% of total energy use)","EG.USE.COMM.CL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0","0","0","0","0","0","0","0","0","0","0","0.01","0.02","0.01","0.01","0.01","0.01","0.03","0.05","","",
"Burkina Faso","BFA","Alternative and nuclear energy (% of total energy use)","EG.USE.COMM.CL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.05","0.07","0.1","0.23","0.36","0.45","0.37","0.3","0.37","0.77","0.57","0.27","0.31","0.43","0.44","0.41","0.3","0.38","0.45","0.42","0.28","0.18","0.2","0.2","0.16","0.16","0.23","0.21","0.21","0.22","0.26","0.24","0.18","","",
"Bangladesh","BGD","Alternative and nuclear energy (% of total energy use)","EG.USE.COMM.CL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.6","0.57","0.52","0.38","0.5","0.2","0.4","0.37","0.43","0.4","0.36","0.42","0.32","0.31","0.3","0.29","0.27","0.26","0.33","0.14","0.24","0.29","0.26","0.29","0.21","0.2","0.26","0.27","0.29","0.22","0.25","0.23","0.28","","",
"Bulgaria","BGR","Alternative and nuclear energy (% of total energy use)","EG.USE.COMM.CL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14.12","16.21","15.52","17.3","19.33","20.33","21.63","23.36","23.23","23.82","26.73","27.09","28.95","24.67","24.78","26.51","26.78","20.47","22.25","24.44","24.93","23.75","24.88","25.66","26.77","25.59","25.93","24.2","26.5","26.54","28.11","26.54","26.1","","",
"Bahrain","BHR","Alternative and nuclear energy (% of total energy use)","EG.USE.COMM.CL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.01","0.01","0.01","0.01","0.03","","",
"Bahamas, The","BHS","Alternative and nuclear energy (% of total energy use)","EG.USE.COMM.CL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
